Line,Product group,Net Quantity Produced,Run Time,Quantity Good
E26,Dec. Surfaces/others,331666.915,2158.9997222222223,185956.944
E26,Shrink Sleeve,3121577.978000001,4885.885833333334,2721629.545000001
E27,Shrink Sleeve,9527580.296999983,8403.696111111112,9460495.214999985
E28,PH Mono Films,6393.556000000001,4.168055555555556,586.604
E28,PSL,1280861.189,3994.9883333333332,1023616.1830000001
E28,Roll Sleeve,4082.866,10.926111111111112,1194.5439999999999
E28,Shrink Sleeve,616467.2459999999,1029.1505555555555,577362.094
K06,Shrink Sleeve,6563709.071999995,5801.175833333333,6253266.483999995
K10,Cards Core,3999948.8120000004,4388.537500000001,3616310.2249999996
K10,Construction,1983522.071,1588.302777777778,1869041.878
K10,Cooling Tower,236971.69999999998,187.37527777777777,206396.19999999998
K10,Dec. Surfaces/others,63560.308000000005,74.3713888888889,57711.5
K10,Other Technical,65847.9,71.84861111111111,64312.9
K10,Print,27312.0,25.39027777777778,21429.0
K17,Tape,9478328.700000003,9464.006111111112,9023290.700000003
K18,Cards Core,1026021.2999999999,747.3313888888889,919097.7
K18,Cards Overlay,1271407.5999999996,1500.3694444444445,1198156.5999999996
K18,Construction,744636.7120000002,440.9583333333333,700473.4120000001
K18,Cooling Tower,2293338.1540000006,1180.9297222222224,2212580.1540000006
K18,Dec. Surfaces/others,1967730.2,2256.736388888889,1809294.2
K18,Other Technical,104935.0,57.36333333333334,93496.0
K18,Print,79143.0,47.91166666666666,71432.0
K40,Cards Core,95718.2,93.51555555555555,83124.3
K40,Dec. Surfaces/others,5821180.999999997,5881.121944444444,5363693.499999997
K40,Roll Sleeve,8942.099999999999,17.673333333333336,6553.0
K40,Shrink Sleeve,812588.8000000003,756.1116666666666,742929.0000000001
K40,Stationery,26043.1,41.38777777777778,21700.0
K40,Tape,34033.600000000006,40.19888888888889,30692.0
