Line,Product Family,Base Polymer,Base Type,Additional Treatment,Width Material Attri,Thickness Material A,Quantity Good,Run Time Hours,Net Quantity Produced,Product Group,Color Group,Sales Quantity in KG,Net Sales Quantity in KG,Gross Sales,Freight Revenue Subtotal,Total Gross Sales Revenue,Sales Discounts,Term (Cash) Discounts,Claims (Returns),Bonus (Rebates),Net Sales I,Sales Price net per KG,Commissions Expense primary,Commissions Expense secondary,Direct Sales Costs,Net Sales II,Material Costs,Subcontracting,Added Value,Packing Material (pallets only),Packaging Overhead Variable,Energy & Supplies Variable,Contribution Margin I - C,Personnel Direct,Personnel Indirect,Maintenance Fix,Other Fixed Overhead,Corporate Allocated Costs Prod,Contribution Margin II - C,Research & Development,Selling exp. (Condition),"General, & Administrative (Condition)",EBITDA before Allocations,Adjusted EBITDA,Total Depreciation,EBIT,Product,Weight Adjusted EBITDA,Rate,Yield,EBITDA per Hr,EBITDA Rank,EBITDA per Hr Rank
K06,Shrink Sleeve,PVC,148/07,T35,550,45,2326.0,2.1244444444444452,2326.0,Shrink Sleeve,GC,8617.7,8617.7,25391.12,0.0,25391.12,0.0,0.0,0.0,-888.68,24502.44,2.843269085718928,0.0,0.0,-1675.62,22826.82,15786.52,0.0,8715.92,287.58,36.81,1708.4,5007.51,2050.39,4249.15,861.1,1610.45,265.85,-4029.43,430.02,1124.18,541.96,-6125.59,-6125.59,1087.76,-7213.35,PVC-148/07-T35-GC,-1653.3555751534632,1094.8744769874477,1.0,-2883.3844142259413,10,10
K06,Shrink Sleeve,PVC,148/07,T35,325,45,2576.994,1.7333333333333334,2576.994,Shrink Sleeve,GC,7255.3,7255.3,21679.51,0.0,21679.51,0.0,0.0,0.0,-758.79,20920.72,2.8835086075007235,0.0,0.0,-1255.61,19665.11,13234.61,0.0,7686.11,272.97,30.55,1351.44,4775.54,1708.91,3383.78,681.05,1288.05,207.3,-2493.55,362.05,946.46,456.29,-4258.35,-4258.35,876.9,-5135.25,PVC-148/07-T35-GC,-1512.5139415186145,1486.7273076923075,1.0,-2456.740384615385,11,11
K06,Shrink Sleeve,PVC,145/01,T02,700,50,4047.996000000001,2.7519444444444447,4707.995999999999,Shrink Sleeve,GC,11269.9,11269.9,25660.17,0.0,25660.17,0.0,0.0,0.0,0.0,25660.17,2.2768764585311314,-898.11,-641.5,-4050.63,21609.54,14875.47,0.0,10784.7,242.46,35.19,1644.5,4811.92,2055.58,4097.84,831.35,1556.8,257.75,-3987.4,562.38,1470.16,708.75,-6728.69,-6728.69,1059.57,-7788.26,PVC-145/01-T02-GC,-2416.854648687212,1710.7888967396786,0.8598129650067676,-2445.067528010497,12,12
K10,Cards Core,PVC,230/58,ZZZ,310,320,478.0,0.4047222222222222,478.0,Cards Core,WH,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.52,-45.52,86.52,0.0,-86.52,0.01,4.3,101.41,-237.76,211.36,275.42,88.21,118.23,32.23,-963.21,2.92,13.79,4.97,-984.89,-984.89,53.27,-1038.16,PVC-230/58-ZZZ-WH,-5959.207848101266,1181.056966369252,1.0,-2433.49622512011,13,13
K18,Cards Overlay,PVC,278/01,H140,619,80,2387.0,2.5491666666666664,2387.0,Cards Coated Overlay-WF,TR,4518.6,4518.6,26253.06,0.0,26253.06,0.0,0.0,0.0,0.0,26253.06,5.809998672155093,0.0,0.0,-741.17,25511.89,11563.55,6096.69,8592.82,0.0,40.97,1798.59,6012.09,3180.71,4744.08,1180.94,1263.67,135.76,-4493.07,167.19,788.85,284.17,-5733.28,-5733.28,1388.59,-7121.87,PVC-278/01-H140-TR,-3028.6680299207715,936.3844393592677,1.0,-2249.080091533181,14,14
K06,Shrink Sleeve,PVC,148/05,T30,420,40,16687.984,11.375277777777775,16687.984,Shrink Sleeve,GC,25905.3,25905.3,68754.43,0.0,68754.43,0.0,0.0,0.0,0.0,68754.43,2.6540680864533512,-2406.4,-1718.87,-12721.29,56033.14,42405.02,0.0,26349.41,4430.42,102.97,4020.25,5074.48,5477.05,10126.27,1976.86,3878.87,561.92,-16946.49,1292.67,3379.35,1629.19,-23247.7,-23247.7,2617.54,-25865.24,PVC-148/05-T30-GC,-14975.979650372708,1467.039691338429,1.0,-2043.7039388537523,15,15
K40,Dec. Surfaces/others,PVC,252/29,ZZZ,700,120,182.0,0.9880555555555556,182.0,2D Uni,OP,176.0,176.0,483.0,0.0,483.0,0.0,0.0,0.0,0.0,483.0,2.7443181818181817,0.0,0.0,-97.12,385.88,232.68,0.0,250.32,0.03,1.5,249.06,-97.39,854.19,502.56,161.2,302.7,51.48,-1969.52,9.32,25.91,11.07,-2015.82,-2015.82,256.47,-2272.29,PVC-252/29-ZZZ-OP,-2084.5411363636363,184.20016868147317,1.0,-2040.1889232499293,16,16
K06,Shrink Sleeve,PVC,148/05,T30,410,45,1230.0,0.9897222222222222,1230.0,Shrink Sleeve,GC,4897.9,4897.9,13796.08,0.0,13796.08,-390.13,0.0,0.0,0.0,13405.95,2.7370811980644767,-379.21,0.0,-631.34,12774.61,7923.48,0.0,5482.47,168.51,17.09,857.57,3807.96,1105.16,2087.97,419.6,810.73,123.91,-739.41,244.41,638.93,308.03,-1930.78,-1930.78,555.78,-2486.56,PVC-148/05-T30-GC,-484.87298638191885,1242.7729441481895,1.0,-1950.830199270278,17,17
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,418,140,1330.0,1.0666666666666669,1330.0,2D Drawer Wrapping Uni,OP,3838.4,3838.4,8634.21,0.0,8634.21,0.0,0.0,0.0,-94.52,8539.69,2.2248046060858693,0.0,0.0,-463.46,8076.23,5092.96,0.0,3446.73,57.36,2.38,515.69,2407.84,1188.35,1001.88,446.02,575.18,192.91,-996.5,203.36,564.89,241.4,-2006.15,-2006.15,390.2,-2396.35,PVC-225/05-ZZZ-OP,-695.1280481450605,1246.8749999999998,1.0,-1880.765625,18,18
K06,Shrink Sleeve,PVC,148/05,T30,1290,40,6514.0,4.115277777777779,6514.0,Shrink Sleeve,GC,8766.1,8766.1,23252.06,0.0,23252.06,0.0,0.0,0.0,0.0,23252.06,2.6524976899647505,-813.82,-581.31,-4344.44,18907.62,14352.83,0.0,8899.23,650.73,32.4,1519.88,2351.78,1763.75,3720.37,744.14,1406.32,223.07,-5505.87,437.43,1143.54,551.3,-7638.14,-7638.14,921.89,-8560.03,PVC-148/05-T30-GC,-5675.8243643125215,1582.8822139723252,1.0,-1856.044819439757,19,19
K06,Shrink Sleeve,PVC,148/07,T35,517,50,1594.0,1.2405555555555556,1594.0,Shrink Sleeve,GC,4555.4,4555.4,14391.81,0.0,14391.81,0.0,0.0,0.0,0.0,14391.81,3.1592856829257583,0.0,0.0,-676.4,13715.41,8298.72,0.0,6093.09,602.75,22.14,915.73,3876.07,1215.21,2326.86,467.37,883.62,142.46,-1159.45,227.32,594.25,286.49,-2267.51,-2267.51,605.72,-2873.23,PVC-148/07-T35-GC,-793.4343723932037,1284.9081952530228,1.0,-1827.818181818182,20,20
E26,Shrink Sleeve,PET,G25F21,T42,800,50,1357.8029999999999,1.7341666666666666,1357.8029999999999,Shrink Sleeve,MC,1693.7,1693.7,6205.06,2450.0,8655.06,0.0,0.0,0.0,0.0,8655.06,5.110149377103383,-10.03,0.0,-4210.58,4444.48,4679.79,0.0,3975.27,51.22,1.75,523.21,-811.49,830.76,686.3,171.59,332.64,157.98,-2990.76,2.98,7.79,3.75,-3005.28,-3005.28,591.65,-3596.93,PETG-G25F21-T42-MC,-2409.2685834799554,782.9714560307547,1.0,-1732.9822200864971,21,21
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,418,140,1330.0,1.0666666666666669,1330.0,2D Drawer Wrapping Uni,WH,4475.4,4475.4,9062.24,0.0,9062.24,0.0,0.0,0.0,-94.3,8967.94,2.003829825267016,0.0,0.0,-489.79,8478.15,5489.59,0.0,3478.35,54.35,2.25,415.19,2516.77,1138.96,831.13,383.52,486.28,154.7,-477.82,237.11,658.63,281.46,-1655.02,-1655.02,334.02,-1989.04,PVC-225/05-ZZZ-WH,-491.8390758367968,1246.8749999999998,1.0,-1551.5812499999995,22,22
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,344,140,1070.0,0.8666666666666667,1070.0,2D Drawer Wrapping Uni,OP,7075.2,7075.2,15750.3,0.0,15750.3,0.0,0.0,0.0,-122.02,15628.28,2.2088817277250112,0.0,0.0,-1014.23,14614.05,9409.0,0.0,6219.28,80.88,3.33,604.85,4515.99,1341.69,1182.12,541.16,669.23,239.66,542.13,374.85,1041.25,444.97,-1318.94,-1318.94,436.79,-1755.73,PVC-225/05-ZZZ-OP,-199.4665592492085,1234.6153846153845,1.0,-1521.8538461538462,23,23
